Website,Name,Price,Ratings,Time,Link
Flipkart,"SAMSUNG Galaxy S7 (Gold Platinum, 32 GB)",46000,4.4,NA,https://www.flipkart.com/samsung-galaxy-s7-gold-platinum-32-gb/p/itmeuyda4qgqetc6?pid=MOBEGFZPWJHYT7NX&lid=LSTMOBEGFZPWJHYT7NXKNHWSQ&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBEGFZPWJHYT7NX.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
Flipkart,"SAMSUNG Galaxy On Max (Black, 32 GB)",19900,4.3,NA,https://www.flipkart.com/samsung-galaxy-max-black-32-gb/p/itmevmrqd5n5ncfa?pid=MOBEV7YD3CFBTENW&lid=LSTMOBEV7YD3CFBTENWGYFVDR&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBEV7YD3CFBTENW.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
Flipkart,"SAMSUNG Galaxy A03s (White, 32 GB)",7699,4,"6 Apr, Saturday",https://www.flipkart.com/samsung-galaxy-a03s-white-32-gb/p/itm418fde1930794?pid=MOBG5NK9VVKEGQCG&lid=LSTMOBG5NK9VVKEGQCG0UJ2CI&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBG5NK9VVKEGQCG.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
Flipkart,"SAMSUNG Galaxy A03s (Blue, 32 GB)",7790,4,"7 Apr, Sunday",https://www.flipkart.com/samsung-galaxy-a03s-blue-32-gb/p/itmc7b85c75edb4d?pid=MOBG5NK9U5SJKJ4F&lid=LSTMOBG5NK9U5SJKJ4FWZHHIH&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBG5NK9U5SJKJ4F.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
Flipkart,"SAMSUNG Galaxy A03 (Black, 32 GB)",9899,4.1,"6 Apr, Saturday",https://www.flipkart.com/samsung-galaxy-a03-black-32-gb/p/itm372ccb52b0cd7?pid=MOBGC2Q5UHRZVTK8&lid=LSTMOBGC2Q5UHRZVTK8ZMFYNN&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBGC2Q5UHRZVTK8.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
Flipkart,"SAMSUNG Galaxy A03 (Red, 32 GB)",8999,4.1,"7 Apr, Sunday",https://www.flipkart.com/samsung-galaxy-a03-red-32-gb/p/itm7afe99e40f3a2?pid=MOBGC2Q52EJDHHZH&lid=LSTMOBGC2Q52EJDHHZHRLON0T&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBGC2Q52EJDHHZH.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
Flipkart,"SAMSUNG Galaxy M11 (Black, 32 GB)",12999,4.2,"8 Apr, Monday",https://www.flipkart.com/samsung-galaxy-m11-black-32-gb/p/itm0871b45a83143?pid=MOBFRZZHRFVXDUZZ&lid=LSTMOBFRZZHRFVXDUZZXSQCSW&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBFRZZHRFVXDUZZ.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
Flipkart,"SAMSUNG Galaxy M11 (Violet, 32 GB)",12999,4.2,"8 Apr, Monday",https://www.flipkart.com/samsung-galaxy-m11-violet-32-gb/p/itm75f977995b456?pid=MOBFRZZHEMXTAE6H&lid=LSTMOBFRZZHEMXTAE6HA2GE1L&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_11&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBFRZZHEMXTAE6H.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
Flipkart,"SAMSUNG Galaxy A03s (Black, 32 GB)",7888,4,"6 Apr, Saturday",https://www.flipkart.com/samsung-galaxy-a03s-black-32-gb/p/itm5c05090098184?pid=MOBG5NK9UZT8TYZU&lid=LSTMOBG5NK9UZT8TYZUSDROHT&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_12&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBG5NK9UZT8TYZU.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
Flipkart,"SAMSUNG Galaxy A03 (Blue, 32 GB)",8800,4.1,"7 Apr, Sunday",https://www.flipkart.com/samsung-galaxy-a03-blue-32-gb/p/itma048bf14e2228?pid=MOBGC2Q5UUUKCBSB&lid=LSTMOBGC2Q5UUUKCBSBATOVLR&marketplace=FLIPKART&q=Samsung+M32+64GB+ROM+4+GB+RAM&store=tyy%2F4io&srno=s_1_13&otracker=search&fm=organic&iid=4acb5a78-e76c-42f4-be56-a678102ab8bc.MOBGC2Q5UUUKCBSB.SEARCH&ppt=None&ppn=None&ssid=u7uki2tb5c0000001712120194308&qH=e9619a46e47d8066
